forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
ἀνήχθησαν,321,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram liderado,"eles(as) foram liderado, foram trazido, foram zarpado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram liderado'.,Revisar o número do particípio; provável forma plural: 'liderados'.
ἀναιρεῖσθαι,337,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,ocupar,"ocupar, matar, abolir, destruir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'ocupar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνακλιθῆναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀνακλῖναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀναλωθῆτε,355,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais consumido,"vós sejais consumido, sejais gastado, sejais esgotado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais consumido'.,Revisar o número do particípio; provável forma plural: 'consumidos'.
ἀνανεοῦσθαι,365,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,renovar,"renovar, fazer novo novamente",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'renovar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀναπαήσονται,373,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão descansado,"eles(as) serão descansado, serão refrescado, serão dado descanso",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão descansado'.,Revisar o número do particípio; provável forma plural: 'descansados'.
ἀναστράφητε,390,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois conduzido,"vós sois conduzido, sois vivido, sois comportado, sois voltado, sois derrubado.",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'sois conduzido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀναφαίνεσθαι,398,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,aparecer,"aparecer, manifestar, mostrar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'aparecer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνετάζεσθαι,426,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,examinar,"examinar, questionar, investigar minuciosamente.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'examinar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνεῳχθῆναι,455,V-ANP,Verbo - Aoristo Infinitivo Passiva,abrir,abrir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'abrir'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀνοιγῶσιν,455,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam aberto,eles(as) sejam aberto,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam aberto'.,Revisar o número do particípio; provável forma plural: 'abertos'.
ἀνταποκριθῆναι,470,V-ANP,Verbo - Aoristo Infinitivo Passiva,responder de volta,"responder de volta, responder em troca",passiva_a_confirmar,revisar,"'V-ANP' é passiva, porém a passiva não está explícita em 'responder de volta'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀντιλαμβάνεσθαι,482,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,ajudar,"ajudar, apoiar, tomar posse",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'ajudar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀπαχθῆναι,520,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar embora,"levar embora, tirar",passiva_a_confirmar,revisar,"'V-ANP' é passiva, porém a passiva não está explícita em 'levar embora'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀπαλλάσσεσθαι,525,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,remover,"remover, libertar, partir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'remover'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκατασταθῶ,600,V-ASP-2S,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Singular,sejas restaurado,"tu sejas restaurado, sejas restabelecido, sejas retornado ao estado anterior.",passiva_a_confirmar,revisar,"'V-ASP-2S' é passiva, porém a passiva não está explícita em 'sejas restaurado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποκαλυφθῶσιν,601,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam revelado,"eles(as) sejam revelado, sejam descoberto",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam revelado'.,Revisar o número do particípio; provável forma plural: 'revelados'.
ἀποκαλύπτεσθαι,601,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,revelar,"revelar, descobrir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'revelar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκρίνεσθαι,611,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,responder,responder,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'responder'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκριθῆναι,611,V-ANP,Verbo - Aoristo Infinitivo Passiva,responder,responder,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'responder'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀποκριθῶσιν,611,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam respondido,eles(as) sejam respondido,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam respondido'.,Revisar o número do particípio; provável forma plural: 'respondidos'.
ἀποκτέννεσθαι,615,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,matar,"matar, assassinar, condenar à morte",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'matar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκτανθῶσιν,615,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam matado,"eles(as) sejam matado, sejam assassinado, sejam condenado à morte",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam matado'.,Revisar o número do particípio; provável forma plural: 'matados'.
ἀπολογηθῆναι,626,V-ANP,Verbo - Aoristo Infinitivo Passiva,defender,"defender, fazer uma defesa, prestar contas",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'defender'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀπελύθησαν,630,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram liberado,"eles(as) foram liberado, foram despedido, foram mandado embora, foram divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram liberado'.,Revisar o número do particípio; provável forma plural: 'liberados'.
ἀπολυθήσεσθε,630,V-FIP-2P,Verbo - Futuro Indicativo Passiva - 2ª Pessoa Plural,sereis liberado,"vós sereis liberado, sereis despedido, sereis mandado embora, sereis divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sereis liberado'.,Revisar o número do particípio; provável forma plural: 'liberados'.
ἀπολυθῆτε,630,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais liberado,"vós sejais liberado, sejais despedido, sejais mandado embora, sejais divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais liberado'.,Revisar o número do particípio; provável forma plural: 'liberados'.
ἀπεπλανήθησαν,635,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram enganado, foram feito vagar",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; provável forma plural: 'desviados'.
ἀπεστράφησάν,654,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,deram as costas,"eles(as) deram as costas, afastaram-se",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, porém a passiva não está explícita em 'deram as costas'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποστραφῇς,654,V-ASP-2S,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Singular,dês as costas,"tu dês as costas, te afastes",passiva_a_confirmar,revisar,"'V-ASP-2S' é passiva, porém a passiva não está explícita em 'dês as costas'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀπενεχθῆναι,667,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar embora,"levar embora, remover",passiva_a_confirmar,revisar,"'V-ANP' é passiva, porém a passiva não está explícita em 'levar embora'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποφθέγγεσθαι,669,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,falar,"falar, declarar ou proferir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'falar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποχωρισθῆναι,673,V-ANP,Verbo - Aoristo Infinitivo Passiva,separar,"separar, partir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'separar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀρκεσθησόμεθα,714,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos sido suficiente,"nós seremos sido suficiente, seremos estado contente, seremos estado satisfeito",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos sido'.,Revisar o número do particípio; provável forma plural: 'sidos'.
ἀρνεῖσθαι,720,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,negar,"negar, renegar, rejeitar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'negar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἁρπαγησόμεθα,726,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos apreendido,"nós seremos apreendido, seremos arrebatado, seremos tirado à força",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos apreendido'.,Revisar o número do particípio; provável forma plural: 'apreendidos'.
ἀσπάζεσθαι,782,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,saudar,"saudar, abraçar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'saudar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀσφαλισθῆναι,805,V-ANP,Verbo - Aoristo Infinitivo Passiva,proteger,"proteger, tornar seguro, prender",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'proteger'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
ἀτιμάζεσθαι,818,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,desonrar,"desonrar, tratar vergonhosamente, desprezar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'desonrar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀτιμασθῆναι,818,V-ANP,Verbo - Aoristo Infinitivo Passiva,desonrar,"desonrar, tratar vergonhosamente, desprezar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'desonrar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
αὐξηθῆτε,837,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais crescido,"vós sejais crescido, sejais aumentado, sejais tornado maior",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais crescido'.,Revisar o número do particípio; provável forma plural: 'crescidos'.
ἀφανίσθητε,853,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sede destruídos,vós sede destruídos,passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'sede destruídos'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀφεῖναι,863,V-ANP,Verbo - Aoristo Infinitivo Passiva,mandar embora,"mandar embora, partir, perdoar, permitir, abandonar",passiva_a_confirmar,revisar,"'V-ANP' é passiva, porém a passiva não está explícita em 'mandar embora'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀφορίσθητε,873,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois separados,"vós sois separados, sois divididos",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'sois separados'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βαπτισθήτω,907,V-AMP-3S,Verbo - Aoristo Imperativo Passiva - 3ª Pessoa Singular,é batizado,"ele(a) é batizado, é imergido, é mergulhado",passiva_a_confirmar,revisar,"'V-AMP-3S' é passiva, porém a passiva não está explícita em 'é batizado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βαρηθῶσιν,916,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam pesado,"eles(as) sejam pesado, sejam sobrecarregado, sejam oprimido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam pesado'.,Revisar o número do particípio; provável forma plural: 'pesados'.
ἐβαρήθημεν,916,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos pesado,"nós fomos pesado, fomos sobrecarregado, fomos oprimido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos pesado'.,Revisar o número do particípio; provável forma plural: 'pesados'.
βαστάζεσθαι,941,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,suportar,"suportar, carregar, apoiar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'suportar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
βεβαιοῦσθαι,950,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,confirmar,"confirmar, estabelecer, tornar firme, seguro",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'confirmar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐβουλήθη,1014,V-AIP-3S,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Singular,desejou,"ele(a) quis, desejou, pretendeu",passiva_a_confirmar,revisar,"'V-AIP-3S' é passiva, porém a passiva não está explícita em 'desejou'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
βυθίζεσθαι,1036,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,afundar,"afundar, mergulhar, submergir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'afundar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
γαμηθῆναι,1060,V-ANP,Verbo - Aoristo Infinitivo Passiva,casar,casar,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'casar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
γεμίζεσθαι,1072,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,preencher,"preencher, ser preenchido, carregar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'preencher'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
γεγεννήμεθα,1080,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos gerado,"nós fomos gerado, fomos dado à luz, fomos produzido.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos gerado'.,Revisar o número do particípio; provável forma plural: 'gerados'.
ἐγεννήθημεν,1080,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos gerado,"nós fomos gerado, fomos dado à luz, fomos produzido.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos gerado'.,Revisar o número do particípio; provável forma plural: 'gerados'.
γενήθητε,1096,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois tornado,"vós sois tornado, sois vindo a ser, sois acontecido, sois sido feito",passiva_a_confirmar,revisar,"'V-AMP-2P' é passiva, porém a passiva não está explícita em 'sois tornado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γενηθῆναι,1096,V-ANP,Verbo - Aoristo Infinitivo Passiva,tornar,"tornar, vir a ser, acontecer, ser feito",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'tornar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
γνωσθήτω,1097,V-AMP-3S,Verbo - Aoristo Imperativo Passiva - 3ª Pessoa Singular,é conhecido,"ele(a) é conhecido, é vindo a conhecer, é reconhecido, é percebido",passiva_a_confirmar,revisar,"'V-AMP-3S' é passiva, porém a passiva não está explícita em 'é conhecido'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
γράφεσθαι,1125,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,escrever,escrever,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'escrever'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δεήθητι,1189,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,és implorado,"tu és implorado, és suplicado, és orado, és pedido sinceramente",passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'és implorado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
δαρήσεσθε,1194,V-FIP-2P,Verbo - Futuro Indicativo Passiva - 2ª Pessoa Plural,sereis batido,"vós sereis batido, sereis atacado, sereis flagelado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sereis batido'.,Revisar o número do particípio; provável forma plural: 'batidos'.
διακριθῆτε,1252,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais distinguido,"vós sejais distinguido, sejais discernido, sejais julgado, sejais duvidado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais distinguido'.,Revisar o número do particípio; provável forma plural: 'distinguidos'.
διεκρίθητε,1252,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes distinguido,"vós fostes distinguido, fostes discernido, fostes julgado, fostes duvidado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes distinguido'.,Revisar o número do particípio; provável forma plural: 'distinguidos'.
διελέχθησαν,1256,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram discutido,"eles(as) foram discutido, foram raciocinado, foram argumentado, foram falado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram discutido'.,Revisar o número do particípio; provável forma plural: 'discutidos'.
διαλλάγηθι,1259,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,sejas reconciliado,tu sejas reconciliado,passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'sejas reconciliado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
διαλογίζεσθαι,1260,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,raciocinar,"raciocinar, considerar, debater, ponderar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'raciocinar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
διελύθησαν,1262,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram dissolvido,"eles(as) foram dissolvido, foram quebrado, foram dispersado, foram liberado.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram dissolvido'.,Revisar o número do particípio; provável forma plural: 'dissolvidos'.
διαμερισθήσονται,1266,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão dividido,"eles(as) serão dividido, serão distribuído, serão repartido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão dividido'.,Revisar o número do particípio; provável forma plural: 'divididos'.
Διανοίχθητι,1272,V-AMP-2S,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Singular,és aberto completamente,tu és aberto completamente,passiva_a_confirmar,revisar,"'V-AMP-2S' é passiva, porém a passiva não está explícita em 'és aberto completamente'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
διηνοίχθησαν,1272,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram aberto completamente,eles(as) foram aberto completamente,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram aberto'.,Revisar o número do particípio; provável forma plural: 'abertos'.
διαπορεύεσθαι,1279,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,passar,"passar, viajar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'passar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
διεσκορπίσθησαν,1287,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram espalhado,"eles(as) foram espalhado, foram dispersado, foram desperdiçado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram espalhado'.,Revisar o número do particípio; provável forma plural: 'espalhados'.
διεσπάρησαν,1289,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram espalhado,"eles(as) foram espalhado, foram dispersado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram espalhado'.,Revisar o número do particípio; provável forma plural: 'espalhados'.
διασωθῆναι,1295,V-ANP,Verbo - Aoristo Infinitivo Passiva,salvar,"salvar, preservar, trazer segurança",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'salvar'.","Revisar para uma forma passiva adequada, por exemplo 'ser + particípio', quando o contexto não exigir outra solução."
διαχωρίζεσθαι,1316,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,separar,"separar, dividir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'separar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐδιδάχθησαν,1321,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram ensinado,"eles(as) foram ensinado, foram instruído",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram ensinado'.,Revisar o número do particípio; provável forma plural: 'ensinados'.
δικαιοῦσθαι,1344,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,justificar,"justificar, declarar justo, absolver",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'justificar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
δικαιωθήσονται,1344,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão justificado,"eles(as) serão justificado, serão declarado justo, serão absolvido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão justificado'.,Revisar o número do particípio; provável forma plural: 'justificados'.
δικαιωθῇς,1344,V-ASP-2S,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Singular,sejas justificado,"tu sejas justificado, sejas declarado justo, sejas absolvido",passiva_a_confirmar,revisar,"'V-ASP-2S' é passiva, porém a passiva não está explícita em 'sejas justificado'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἐδικαιώθητε,1344,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes justificado,"vós fostes justificado, fostes declarado justo, fostes absolvido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes justificado'.,Revisar o número do particípio; provável forma plural: 'justificados'.
διωχθήσονται,1377,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão perseguido,"eles(as) serão perseguido, serão avançado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão perseguido'.,Revisar o número do particípio; provável forma plural: 'perseguidos'.
ἐδουλώθητε,1402,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes escravizado,"vós fostes escravizado, fostes trazido à escravidão, fostes feito um servo.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes escravizado'.,Revisar o número do particípio; provável forma plural: 'escravizados'.
ἠδυνήθητε,1410,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes sido capaz,"vós fostes sido capaz, fostes tido poder",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes sido'.,Revisar o número do particípio; provável forma plural: 'sidos'.
ἐδυναμώθησαν,1412,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram capacitado,"eles(as) foram capacitado, foram fortalecido, foram tornado forte",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram capacitado'.,Revisar o número do particípio; provável forma plural: 'capacitados'.
