forma_grega,strongs,abrev_morf,morfologia,pt,traducao,tipo,prioridade,achado,sugestao
κατακεῖσθαι,2621,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,deitar,"deitar, situar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'deitar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
κηρυχθῆναι,2784,V-ANP,Verbo - Aoristo Infinitivo Passiva,proclamar,"proclamar, pregar, anunciar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'proclamar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἐκοιμήθησαν,2837,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram dormido,"eles(as) foram dormido, foram adormecido, foram morrido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram dormido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἐκρίθησαν,2919,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram julgado,"eles(as) foram julgado, foram decidido, foram determinado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram julgado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
κρυβῆναι,2928,V-ANP,Verbo - Aoristo Infinitivo Passiva,esconder,"esconder, manter segredo",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'esconder'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
κτᾶσθαι,2932,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,adquirir,"adquirir, obter, possuir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'adquirir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
λαληθῆναι,2980,V-ANP,Verbo - Aoristo Infinitivo Passiva,falar,"falar, proferir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'falar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
λογισθῆναι,3049,V-ANP,Verbo - Aoristo Infinitivo Passiva,calcular,"calcular, considerar, contabilizar, pensar, imputar.",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'calcular'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
λυπεῖσθαι,3076,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,lamentar,"lamentar, causar tristeza, angustiar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'lamentar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐλυπήθησαν,3076,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram lamentado,"eles(as) foram lamentado, foram causado tristeza, foram angustiado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram lamentado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
μεθύουσιν,3184,V-PIA-3P,Verbo - Presente Indicativo Ativa - 3ª Pessoa Plural,estão bêbado,"eles(as) estão bêbado, ficam intoxicado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'estão bêbado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
μιμεῖσθαι,3401,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,imitar,"imitar, seguir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'imitar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
παραδίδοσθαι,3860,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,entregar,"entregar, trair, confiar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'entregar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
παραδοθῆναι,3860,V-ANP,Verbo - Aoristo Infinitivo Passiva,entregar,"entregar, trair, confiar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'entregar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
παρεκλήθημεν,3870,V-AIP-1P,Verbo - Aoristo Indicativo Passiva - 1ª Pessoa Plural,fomos chamado para o seu lado,"nós fomos chamado para o seu lado, fomos exortado, fomos encorajado, fomos confortado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fomos chamado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
πείθεσθαι,3982,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,persuadir,"persuadir, convencer, confiar, ter confiança",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'persuadir'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐπείσθησαν,3982,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram persuadido,"eles(as) foram persuadido, foram convencido, foram confiado, foram tido confiança",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram persuadido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
πειρασθῆναι,3985,V-ANP,Verbo - Aoristo Infinitivo Passiva,ser testado(a),"ser testado, tentado, examinado",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ser testado(a)'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
πλανῆσαι,4105,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,desviar,"desviar, enganar, fazer vagar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'desviar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐπλανήθησαν,4105,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram enganado, foram feito vagar",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
πληρωθῆναι,4137,V-ANP,Verbo - Aoristo Infinitivo Passiva,preencher,"preencher, completar, cumprir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'preencher'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
πληρωθῆτε,4137,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais preenchido,"vós sejais preenchido, sejais completado, sejais cumprido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais preenchido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
πορευθῆναι,4198,V-ANP,Verbo - Aoristo Infinitivo Passiva,ir,"ir, prosseguir, viajar",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'ir'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
προπεμφθῆναι,4311,V-ANP,Verbo - Aoristo Infinitivo Passiva,enviar,"enviar, acompanhar, escoltar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'enviar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
σαλευθῆναι,4531,V-ANP,Verbo - Aoristo Infinitivo Passiva,sacudir,"sacudir, mover, perturbar, ficar inquieto",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'sacudir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
σκανδαλισθήσεσθε,4624,V-FIP-2P,Verbo - Futuro Indicativo Passiva - 2ª Pessoa Plural,tropeçareis,"vós tropeçareis, sereis ofendidos, se escandalizarão",passiva_a_confirmar,revisar,"'V-FIP-2P' é passiva, mas a passiva não está explícita em 'tropeçareis'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
σκανδαλισθῇ,4624,V-ASP-3S,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Singular,tropece,"ele(a) tropece, seja ofendido, se escandalize",passiva_a_confirmar,revisar,"'V-ASP-3S' é passiva, mas a passiva não está explícita em 'tropece'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
στενοχωρεῖσθε,4729,V-PIM/P-2P,Verbo - Presente Indicativo Média ou Passiva - 2ª Pessoa Plural,estais angustiado,"vós estais angustiado, estais em dificuldade, estais em um lugar estreito",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'estais angustiado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
Συνχάρητέ,4796,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois alegrado com,vós sois alegrado com,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sois alegrado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
συναχθήσονται,4863,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão reunido,eles(as) serão reunido,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão reunido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
συναχθῆναι,4863,V-ANP,Verbo - Aoristo Infinitivo Passiva,reunir,reunir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reunir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
συνηγέρθητε,4891,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes criado juntos,"vós fostes criado juntos, fostes despertado juntos",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes criado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
συντελεῖσθαι,4931,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,completar,"completar, realizar, pôr fim",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'completar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἐσφραγίσθητε,4972,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes selado,"vós fostes selados, fostes colocado um selo, fostes marcado com um selo",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes selado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
Σώθητε,4982,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois salvado,"vós sois salvado, sois resgatado, sois libertado, sois curado, sois preservado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sois salvado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
σωθησόμεθα,4982,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos salvado,"nós seremos salvado, seremos resgatado, seremos libertado, seremos curado, seremos preservado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos salvado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
Ταπεινώθητε,5013,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois humilhado,"vós sois humilhado, sois rebaixado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sois humilhado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἐτέθησαν,5087,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram colocado,"eles(as) foram colocado, foram nomeado, foram estabelecido",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram colocado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ὑψωθῆναι,5312,V-ANP,Verbo - Aoristo Infinitivo Passiva,elevar,"elevar, exaltar, elevar alto",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'elevar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
φανῶσιν,5316,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam mostrado,"eles(as) sejam mostrado, sejam feito aparecer, sejam aparecido, sejam brilhado, sejam manifestado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam mostrado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
φανερωθῆναι,5319,V-ANP,Verbo - Aoristo Infinitivo Passiva,tornar manifesto,"tornar manifesto, revelar, dar a conhecer, mostrar abertamente.",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'tornar manifesto'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
χωρίζεσθαι,5563,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,separar,"separar, dividir, partir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'separar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀγαλλιαθῆναι,21,V-ANP,Verbo - Aoristo Infinitivo Passiva,regozijar muito,"regozijar muito, exultar, ficar extremamente feliz.",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'regozijar muito'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἡγιάσθητε,37,V-AIP-2P,Verbo - Aoristo Indicativo Passiva - 2ª Pessoa Plural,fostes santificado,"vós fostes santificado, fostes tornado santo, fostes consagrado, fostes separado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'fostes santificado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἠγοράσθησαν,59,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram comprado,"eles(as) foram comprado, foram resgatado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram comprado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀρθῶσιν,142,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam levantado,"eles(as) sejam levantado, sejam retirado, sejam levado embora.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam levantado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
αἰσχυνθῶμεν,153,V-ASP-1P,Verbo - Aoristo Subjuntivo Passiva - 1ª Pessoa Plural,sejamos envergonhado,"nós sejamos envergonhado, sejamos desonrado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejamos envergonhado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
αἰχμαλωτισθήσονται,163,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão capturado,"eles(as) serão capturado, serão levado cativo",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão capturado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀλλαγήσονται,236,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão mudado,"eles(as) serão mudado, serão trocado, serão transformado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão mudado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀναγνωσθῆναι,314,V-ANP,Verbo - Aoristo Infinitivo Passiva,ler,"ler, reconhecer, saber de novo",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'ler'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀνήχθησαν,321,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram liderado,"eles(as) foram liderado, foram trazido, foram zarpado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram liderado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀναιρεῖσθαι,337,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,ocupar,"ocupar, matar, abolir, destruir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'ocupar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνακλιθῆναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀνακλῖναι,347,V-ANP,Verbo - Aoristo Infinitivo Passiva,reclinar,"reclinar, deitar, recostar",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'reclinar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀναλωθῆτε,355,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais consumido,"vós sejais consumido, sejais gastado, sejais esgotado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais consumido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀνανεοῦσθαι,365,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,renovar,"renovar, fazer novo novamente",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'renovar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀναπαήσονται,373,V-FIP-3P,Verbo - Futuro Indicativo Passiva - 3ª Pessoa Plural,serão descansado,"eles(as) serão descansado, serão refrescado, serão dado descanso",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'serão descansado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀναστράφητε,390,V-AMP-2P,Verbo - Aoristo Imperativo Passiva - 2ª Pessoa Plural,sois conduzido,"vós sois conduzido, sois vivido, sois comportado, sois voltado, sois derrubado.",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sois conduzido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀναφαίνεσθαι,398,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,aparecer,"aparecer, manifestar, mostrar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'aparecer'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνετάζεσθαι,426,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,examinar,"examinar, questionar, investigar minuciosamente.",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'examinar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀνεῳχθῆναι,455,V-ANP,Verbo - Aoristo Infinitivo Passiva,abrir,abrir,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'abrir'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀνοιγῶσιν,455,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam aberto,eles(as) sejam aberto,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam aberto'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀνταποκριθῆναι,470,V-ANP,Verbo - Aoristo Infinitivo Passiva,responder de volta,"responder de volta, responder em troca",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'responder de volta'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀντιλαμβάνεσθαι,482,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,ajudar,"ajudar, apoiar, tomar posse",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'ajudar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀπαχθῆναι,520,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar embora,"levar embora, tirar",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'levar embora'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀπαλλάσσεσθαι,525,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,remover,"remover, libertar, partir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'remover'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκαλυφθῶσιν,601,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam revelado,"eles(as) sejam revelado, sejam descoberto",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam revelado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀποκαλύπτεσθαι,601,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,revelar,"revelar, descobrir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'revelar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκρίνεσθαι,611,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,responder,responder,media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'responder'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκριθῆναι,611,V-ANP,Verbo - Aoristo Infinitivo Passiva,responder,responder,passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'responder'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀποκριθῶσιν,611,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam respondido,eles(as) sejam respondido,concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam respondido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀποκτέννεσθαι,615,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,matar,"matar, assassinar, condenar à morte",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'matar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποκτανθῶσιν,615,V-ASP-3P,Verbo - Aoristo Subjuntivo Passiva - 3ª Pessoa Plural,sejam matado,"eles(as) sejam matado, sejam assassinado, sejam condenado à morte",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejam matado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀπολογηθῆναι,626,V-ANP,Verbo - Aoristo Infinitivo Passiva,defender,"defender, fazer uma defesa, prestar contas",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'defender'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀπελύθησαν,630,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram liberado,"eles(as) foram liberado, foram despedido, foram mandado embora, foram divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram liberado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀπολυθήσεσθε,630,V-FIP-2P,Verbo - Futuro Indicativo Passiva - 2ª Pessoa Plural,sereis liberado,"vós sereis liberado, sereis despedido, sereis mandado embora, sereis divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sereis liberado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀπολυθῆτε,630,V-ASP-2P,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Plural,sejais liberado,"vós sejais liberado, sejais despedido, sejais mandado embora, sejais divorciado",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'sejais liberado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀπεπλανήθησαν,635,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,foram desviado,"eles(as) foram desviado, foram enganado, foram feito vagar",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'foram desviado'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀπεστράφησάν,654,V-AIP-3P,Verbo - Aoristo Indicativo Passiva - 3ª Pessoa Plural,deram as costas,"eles(as) deram as costas, afastaram-se",passiva_a_confirmar,revisar,"'V-AIP-3P' é passiva, mas a passiva não está explícita em 'deram as costas'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποστραφῇς,654,V-ASP-2S,Verbo - Aoristo Subjuntivo Passiva - 2ª Pessoa Singular,dês as costas,"tu dês as costas, te afastes",passiva_a_confirmar,revisar,"'V-ASP-2S' é passiva, mas a passiva não está explícita em 'dês as costas'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀπενεχθῆναι,667,V-ANP,Verbo - Aoristo Infinitivo Passiva,levar embora,"levar embora, remover",passiva_a_confirmar,revisar,"'V-ANP' é passiva, mas a passiva não está explícita em 'levar embora'.","Confirmar se a glossa pretende particípio isolado, adjetivo verbal ou construção passiva completa."
ἀποφθέγγεσθαι,669,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,falar,"falar, declarar ou proferir",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'falar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἀποχωρισθῆναι,673,V-ANP,Verbo - Aoristo Infinitivo Passiva,separar,"separar, partir",passiva_sem_marca,alta,"'V-ANP' é passiva, mas 'pt' está em infinitivo ativo: 'separar'.",Revisar para 'ser + particípio' ou outra solução passiva adequada.
ἀρκεσθησόμεθα,714,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos sido suficiente,"nós seremos sido suficiente, seremos estado contente, seremos estado satisfeito",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos sido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀρκεσθησόμεθα,714,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos sido suficiente,"nós seremos sido suficiente, seremos estado contente, seremos estado satisfeito",construcao_inadequada,alta,Construção inadequada com 'sido'.,"Reescrever idiomaticamente; por exemplo, 'foram capazes', 'puderam' ou 'seremos capazes', conforme o sentido."
ἀρνεῖσθαι,720,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,negar,"negar, renegar, rejeitar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'negar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
ἁρπαγησόμεθα,726,V-FIP-1P,Verbo - Futuro Indicativo Passiva - 1ª Pessoa Plural,seremos apreendido,"nós seremos apreendido, seremos arrebatado, seremos tirado à força",concordancia_participio,alta,Auxiliar plural com particípio aparentemente singular: 'seremos apreendido'.,Revisar o número do particípio; provável forma plural terminada em '-s'.
ἀσπάζεσθαι,782,V-PNM/P,Verbo - Presente Infinitivo Média ou Passiva,saudar,"saudar, abraçar",media_passiva_ambigua,revisar,'V-PNM/P' é média ou passiva e 'pt' é infinitivo ativo: 'saudar'.,"Decidir pelo contexto entre leitura média/reflexiva, passiva ou ativa idiomática; não corrigir automaticamente."
