grego,strongs,campo,palavra_suspeita,texto_contexto,sugestao,decisao
Λευὶν,3018,pt,levi,Levi,,
Μανασσῆ,3128,traducao,manassé,Manassé,,
Μανασσῆ,3128,pt,manassé,Manassé,,
Μαρίαν,3137,traducao,mary,mary,,
Μαρίαν,3137,pt,mary,mary,,
Μαθθαῖος,3156,traducao,mateu,Mateu,,
Μαθθαῖος,3156,pt,mateu,Mateu,,
Ματθαῖον,3156,traducao,mateu,Mateu,,
Ματθαῖον,3156,pt,mateu,Mateu,,
Ματθαῖος,3156,traducao,mateu,Mateu,,
Ματθαῖος,3156,pt,mateu,Mateu,,
Ματθάν,3157,traducao,mathan,mathan,,
Ματθάν,3157,pt,mathan,mathan,,
Μαθθάτ,3158,traducao,matthat,matthat,,
Μαθθάτ,3158,pt,matthat,matthat,,
Μαθθίαν,3159,traducao,matio,matio,,
Μαθθίαν,3159,pt,matio,matio,,
Ματταθίου,3161,traducao,matatio,do matatio,,
Ματταθίου,3161,pt,matatio,do matatio,,
μέλλετε,3195,traducao,estáis,"vós estáis prestes a, pretendeis, estáis destinado",,
μέλλετε,3195,traducao,estáis,"vós estáis prestes a, pretendeis, estáis destinado",,
μέλλετε,3195,pt,estáis,estáis prestes a,,
Μελχὶ,3197,traducao,melqui,melqui,,
Μελχὶ,3197,pt,melqui,melqui,,
Ναζαρά,3478,traducao,nazaré,Nazaré,,
Ναζαρά,3478,pt,nazaré,Nazaré,,
Νικολαϊτῶν,3531,traducao,nicolaítos,dos nicolaítos,,
Νικολαϊτῶν,3531,pt,nicolaítos,dos nicolaítos,,
Νινευῖται,3536,traducao,ninivitos,ninivitos,,
Νινευῖται,3536,pt,ninivitos,ninivitos,,
Ὀνησιφόρου,3683,traducao,onesíforo,do Onesíforo,,
Ὀνησιφόρου,3683,pt,onesíforo,do Onesíforo,,
ὀρφανούς,3737,traducao,órfões,órfões,,
ὀρφανούς,3737,pt,órfões,órfões,,
ὀφείλετε,3784,traducao,estáis,"vós deveis, estáis em dívida, estáis obrigado",,
ὀφείλετε,3784,traducao,estáis,"vós deveis, estáis em dívida, estáis obrigado",,
Πάφου,3974,traducao,pafa,da pafa,,
Πάφου,3974,pt,pafa,da pafa,,
Πισιδίαν,4099,traducao,pisídia,Pisídia,,
Πισιδίαν,4099,pt,pisídia,Pisídia,,
πληρώματα,4138,traducao,plenitudes,plenitudes,,
πληρώματα,4138,pt,plenitudes,plenitudes,,
Ποντίου,4194,traducao,pôncio,do Pôncio,,
Ποντίου,4194,pt,pôncio,do Pôncio,,
Πρίσκιλλα,4252,traducao,priscila,Priscila,,
Πρίσκιλλα,4252,pt,priscila,Priscila,,
προεγράφη,4270,traducao,escrevido,"ele(a) foi escrevido antes, foi retratado publicamente, foi anunciado de antemão",,
προεγράφη,4270,pt,escrevido,foi escrevido antes,,
προσκυνήσεις,4352,traducao,lit,"tu te prostrarás, reverenciarás, adorarás, lit. beijarás o chão",,
προσκυνήσων,4352,traducao,lit,"prestes a prostrar, prestes a reverenciar, prestes a adorar, lit. prestes a beijar o chão",,
προσκυνήσῃς,4352,traducao,lit,"tu te prostres, reverencies, adores, lit. beijes o chão",,
προσκύνησον,4352,traducao,lit,"tu te prostra, reverencia, adora, lit. beija o chão",,
προφητεύητε,4395,traducao,predizais,"vós profetizeis, faleis por inspiração divina, predizais",,
πρώτοις,4413,traducao,ens,aos ens primeiro lugar,,
πρώτοις,4413,pt,ens,aos ens primeiro lugar,,
πρῶτα,4413,traducao,ens,ens primeiro lugar,,
πρῶτα,4413,pt,ens,ens primeiro lugar,,
Ῥαὰβ,4460,traducao,raabe,Raabe,,
Ῥαὰβ,4460,pt,raabe,Raabe,,
Σαδώκ,4524,traducao,zadoque,Zadoque,,
Σαδώκ,4524,pt,zadoque,Zadoque,,
Σαλώμη,4539,traducao,salomé,Salomé,,
Σαλώμη,4539,pt,salomé,Salomé,,
Σαμάρεια,4540,traducao,samaria,Samaria,,
Σαμάρεια,4540,pt,samaria,Samaria,,
σανδάλιά,4547,traducao,sandálios,sandálios,,
σανδάλιά,4547,pt,sandálios,sandálios,,
Σαύλου,4569,traducao,saulo,do Saulo,,
Σαύλου,4569,pt,saulo,do Saulo,,
Σιδῶνα,4605,traducao,sídon,sídon,,
Σιδῶνα,4605,pt,sídon,sídon,,
στενοχωρεῖσθε,4729,traducao,estáis,"vós estáis angustiado, estáis em dificuldade, estáis em um lugar estreito",,
στενοχωρεῖσθε,4729,traducao,estáis,"vós estáis angustiado, estáis em dificuldade, estáis em um lugar estreito",,
στενοχωρεῖσθε,4729,traducao,estáis,"vós estáis angustiado, estáis em dificuldade, estáis em um lugar estreito",,
στενοχωρεῖσθε,4729,pt,estáis,estáis angustiado,,
Στεφάνῳ,4736,traducao,estêvão,ao Estêvão,,
Στεφάνῳ,4736,pt,estêvão,ao Estêvão,,
συνέχομαι,4912,traducao,restringo,"eu mantenho unido, restringo, obrigo, pressiono",,
Συχέμ,4966,traducao,siquém,Siquém,,
Συχέμ,4966,pt,siquém,Siquém,,
Ταβιθά,5000,traducao,tabito,Tabito,,
Ταβιθά,5000,pt,tabito,Tabito,,
ἐτήρησάς,5083,traducao,manteste,"tu manteste, guardaste, observaste, zelaste",,
ἐτήρησάς,5083,pt,manteste,manteste,,
Τιμοθέου,5095,traducao,timóteo,do Timóteo,,
Τιμοθέου,5095,pt,timóteo,do Timóteo,,
Τιμοθέῳ,5095,traducao,timóteo,ao Timóteo,,
Τιμοθέῳ,5095,pt,timóteo,ao Timóteo,,
Τιμόθεε,5095,traducao,timóteo,Timóteo,,
Τιμόθεε,5095,pt,timóteo,Timóteo,,
Τρόφιμον,5161,traducao,trófimo,Trófimo,,
Τρόφιμον,5161,pt,trófimo,Trófimo,,
Τρῳάδι,5174,traducao,trôade,à Trôade,,
Τρῳάδι,5174,pt,trôade,à Trôade,,
Τύχικον,5190,traducao,tíquico,Tíquico,,
Τύχικον,5190,pt,tíquico,Tíquico,,
ὑποκριτά,5273,traducao,hipócrito,hipócrito,,
ὑποκριτά,5273,pt,hipócrito,hipócrito,,
ὑποκριτῶν,5273,traducao,hipócritos,dos hipócritos,,
ὑποκριτῶν,5273,pt,hipócritos,dos hipócritos,,
Φιλίπποις,5375,traducao,filipos,aos Filipos,,
Φιλίπποις,5375,pt,filipos,aos Filipos,,
Χαναὰν,5477,traducao,canaã,Canaã,,
Χαναὰν,5477,pt,canaã,Canaã,,
Χαρράν,5488,traducao,harã,Harã,,
Χαρράν,5488,pt,harã,Harã,,
χιλίας,5507,traducao,mis,mis,,
χιλίας,5507,pt,mis,mis,,
Χοραζίν,5523,traducao,corazino,corazino,,
Χοραζίν,5523,pt,corazino,corazino,,
ψιχίων,5589,traducao,migalhos,dos migalhos,,
ψιχίων,5589,pt,migalhos,dos migalhos,,
Ἀβιάθαρ,8,traducao,abiatar,Abiatar,,
Ἀβιάθαρ,8,pt,abiatar,Abiatar,,
Ἀβιληνῆς,9,traducao,abilene,da Abilene,,
Ἀβιληνῆς,9,pt,abilene,da Abilene,,
ᾅδῃ,86,traducao,hade,ao hade,,
ᾅδῃ,86,pt,hade,ao hade,,
Αἴγυπτος,125,traducao,egita,egita,,
Αἴγυπτος,125,pt,egita,egita,,
Αἰνέα,132,traducao,enéio,enéio,,
Αἰνέα,132,pt,enéio,enéio,,
Αἰνέαν,132,traducao,enéio,enéio,,
Αἰνέαν,132,pt,enéio,enéio,,
αἰτήσηται,154,traducao,exijisse,"ele(a) pedisse, solicitasse, exijisse",,
ἀλείψωσιν,218,traducao,ungam,eles(as) ungam,,
ἀλείψωσιν,218,pt,ungam,ungam,,
Ἀλέξανδρον,223,traducao,alexandre,Alexandre,,
Ἀλέξανδρον,223,pt,alexandre,Alexandre,,
Ἀλεξάνδρου,223,traducao,alexandre,do Alexandre,,
Ἀλεξάνδρου,223,pt,alexandre,do Alexandre,,
Ἀμφίπολιν,295,traducao,anfípoli,anfípoli,,
Ἀμφίπολιν,295,pt,anfípoli,anfípoli,,
ἀναβαίνουσιν,305,traducao,subem,eles(as) subem,,
ἀναβαίνουσιν,305,pt,subem,subem,,
Ἁνανίαν,367,traducao,ananias,Ananias,,
Ἁνανίαν,367,pt,ananias,Ananias,,
ἀνέθετο,394,traducao,expeu,"ele(a) expeu, declarou, colocou diante, comunicou",,
ἀνέθετο,394,pt,expeu,expeu,,
ἀνεθέμην,394,traducao,expi,"eu expi, declarei, coloquei diante, comuniquei",,
ἀνεθέμην,394,pt,expi,expi,,
Ἀνδρέᾳ,406,traducao,andré,ao André,,
Ἀνδρέᾳ,406,pt,andré,ao André,,
ἀνθύπατοί,446,traducao,procônsules,procônsules,,
ἀνθύπατοί,446,pt,procônsules,procônsules,,
Ἅννα,451,traducao,ana,Ana,,
Ἅννα,451,pt,ana,Ana,,
Ἀντιοχέα,491,traducao,antioquio,antioquio,,
Ἀντιοχέα,491,pt,antioquio,antioquio,,
ἀπεράντοις,562,traducao,sens,às sens fim,,
ἀπεράντοις,562,pt,sens,às sens fim,,
ἀπέχεσθε,568,traducao,abstei,"vós tende por inteiro, recebei, estai distante, vos abstei",,
ἀπέχετε,568,traducao,estáis,"vós tendes por inteiro, recebeis, estáis distante, vos absteis",,
ἀπέχετε,568,traducao,absteis,"vós tendes por inteiro, recebeis, estáis distante, vos absteis",,
ἀπεῖχεν,568,traducao,abstia,"ele(a) tinha por inteiro, recebia, estava distante, se abstia",,
ἀποβάλητε,577,traducao,perdais,"vós jogueis fora, perdais",,
ἀπέκρυψας,613,traducao,manteste,"tu escondeste, manteste segredo",,
ἀπολέσητε,622,traducao,perdais,"vós destruais, pereçais, perdais",,
ἀπόλλυνται,622,traducao,destróem,"eles(as) destróem, perecem, perdem",,
ἀπόλλυνται,622,pt,destróem,destróem,,
ἀπόλωνται,622,traducao,perdam,"eles(as) destruam, pereçam, perdam",,
Ἀπολλύων,623,traducao,apoliom,Apoliom,,
Ἀπολλύων,623,pt,apoliom,Apoliom,,
Ἀπολλωνίαν,624,traducao,apolónia,Apolónia,,
Ἀπολλωνίαν,624,pt,apolónia,Apolónia,,
ἀργυροκόπος,695,traducao,ourive,ourive,,
ἀργυροκόπος,695,pt,ourive,ourive,,
Ἁρέτα,702,traducao,areto,do areto,,
Ἁρέτα,702,pt,areto,do areto,,
Μαγεδών,717,traducao,armagedom,Armagedom,,
Μαγεδών,717,pt,armagedom,Armagedom,,
Ἃρ ͜ ,717,traducao,armagedom,Armagedom,,
Ἃρ ͜ ,717,pt,armagedom,Armagedom,,
Ἀρφαξάδ,742,traducao,arfaxade,arfaxade,,
Ἀρφαξάδ,742,pt,arfaxade,arfaxade,,
Ἀρχέλαος,745,traducao,arquelau,Arquelau,,
Ἀρχέλαος,745,pt,arquelau,Arquelau,,
ἀρωμάτων,759,traducao,especiarios,dos especiarios,,
ἀρωμάτων,759,pt,especiarios,dos especiarios,,
ἀσσαρίου,787,traducao,assarion,de assarion,,
ἀσσαρίου,787,pt,assarion,de assarion,,
ἀσσαρίων,787,traducao,assariones,dos assariones,,
ἀσσαρίων,787,pt,assariones,dos assariones,,
ἄστρα,798,traducao,estrelos,estrelos,,
ἄστρα,798,pt,estrelos,estrelos,,
ἄστροις,798,traducao,estrelos,aos estrelos,,
ἄστροις,798,pt,estrelos,aos estrelos,,
ἄστρων,798,traducao,estrelos,dos estrelos,,
ἄστρων,798,pt,estrelos,dos estrelos,,
Ἀττάλειαν,825,traducao,atália,Atália,,
Ἀττάλειαν,825,pt,atália,Atália,,
ἀφανίζουσιν,853,traducao,destróem,"eles(as) destróem, desaparecem, tornam invisível",,
ἀφανίζουσιν,853,pt,destróem,destróem,,
Βαλαάμ,903,traducao,balaão,Balaão,,
Βαλαάμ,903,pt,balaão,Balaão,,
Βαλὰκ,904,traducao,balaque,Balaque,,
Βαλὰκ,904,pt,balaque,Balaque,,
βαπτίσωνται,907,traducao,imergam,"eles(as) batizem, imergam, mergulhem",,
Βαράκ,913,traducao,baraque,Baraque,,
Βαράκ,913,pt,baraque,Baraque,,
Βαρτίμαιος,924,traducao,bartimeu,Bartimeu,,
Βαρτίμαιος,924,pt,bartimeu,Bartimeu,,
Βελίαρ,955,traducao,beliar,Beliar,,
Βελίαρ,955,pt,beliar,Beliar,,
Βερνίκης,959,traducao,berenice,da Berenice,,
Βερνίκης,959,pt,berenice,da Berenice,,
Βέροιαν,960,traducao,beréia,Beréia,,
Βέροιαν,960,pt,beréia,Beréia,,
Βεροίᾳ,960,traducao,beréia,à Beréia,,
Βεροίᾳ,960,pt,beréia,à Beréia,,
Βεροιαῖος,961,traducao,bereano,Bereano,,
Βεροιαῖος,961,pt,bereano,Bereano,,
Βηθζαθά,964,traducao,betesdo,Betesdo,,
Βηθζαθά,964,pt,betesdo,Betesdo,,
Βιθυνίαν,978,traducao,bitínia,Bitínia,,
Βιθυνίαν,978,pt,bitínia,Bitínia,,
Βιθυνίας,978,traducao,bitínia,da Bitínia,,
Βιθυνίας,978,pt,bitínia,da Bitínia,,
Βοός,1003,traducao,boaz,Boaz,,
Βοός,1003,pt,boaz,Boaz,,
Βοὸζ,1003,traducao,boaz,Boaz,,
Βοὸζ,1003,pt,boaz,Boaz,,
βορβόρου,1004,traducao,lamo,do lamo,,
βορβόρου,1004,pt,lamo,do lamo,,
Βοσόρ,1007,traducao,bosor,bosor,,
Βοσόρ,1007,pt,bosor,bosor,,
γαζοφυλακίου,1049,traducao,tesourario,de tesourario,,
γαζοφυλακίου,1049,pt,tesourario,de tesourario,,
γαζοφυλακίῳ,1049,traducao,tesourario,a tesourario,,
γαζοφυλακίῳ,1049,pt,tesourario,a tesourario,,
Γαλάται,1052,traducao,gálatos,Gálatos,,
Γαλάται,1052,pt,gálatos,Gálatos,,
Γαλατίαν,1053,traducao,galácia,Galácia,,
Γαλατίαν,1053,pt,galácia,Galácia,,
Γομόρρας,1116,traducao,gomorra,da Gomorra,,
Γομόρρας,1116,pt,gomorra,da Gomorra,,
Γομόρροις,1116,traducao,gomorros,aos Gomorros,,
Γομόρροις,1116,pt,gomorros,aos Gomorros,,
Γομόρρων,1116,traducao,gomorros,dos Gomorros,,
Γομόρρων,1116,pt,gomorros,dos Gomorros,,
Γὼγ,1136,traducao,gogue,Gogue,,
Γὼγ,1136,pt,gogue,Gogue,,
Δαλμανουθά,1148,traducao,dalmanuta,Dalmanuta,,
Δαλμανουθά,1148,pt,dalmanuta,Dalmanuta,,
Δαλματίαν,1149,traducao,dalmácia,Dalmácia,,
Δαλματίαν,1149,pt,dalmácia,Dalmácia,,
Δάμαρις,1152,traducao,damares,Damares,,
Δάμαρις,1152,pt,damares,Damares,,
ἐδειγμάτισεν,1165,traducao,expeu,"ele(a) deu exemplo público, expeu, desonrou",,
Δεκαπόλει,1179,traducao,decápoli,à Decápoli,,
Δεκαπόλει,1179,pt,decápoli,à Decápoli,,
Δερβαῖος,1190,traducao,derbean,derbean,,
Δερβαῖος,1190,pt,derbean,derbean,,
Δημητρίῳ,1216,traducao,demétrio,ao Demétrio,,
Δημητρίῳ,1216,pt,demétrio,ao Demétrio,,
διασείσητε,1286,traducao,extorquais,"vós extorquais, sacudais violentamente, intimideis",,
διασείσητε,1286,pt,extorquais,extorquais,,
Διοσκούροις,1359,traducao,dióscuros,aos dióscuros,,
Διοσκούροις,1359,pt,dióscuros,aos dióscuros,,
Διοτρέφης,1361,traducao,diótrefe,diótrefe,,
Διοτρέφης,1361,pt,diótrefe,diótrefe,,
Δρουσίλλῃ,1409,traducao,drusila,à Drusila,,
Δρουσίλλῃ,1409,pt,drusila,à Drusila,,
Ἔβερ,1443,traducao,éber,Éber,,
Ἔβερ,1443,pt,éber,Éber,,
ἐγκρατῆ,1468,traducao,autocontrolado,autocontrolado,,
ἐγκρατῆ,1468,pt,autocontrolado,autocontrolado,,
Ἑζεκίαν,1478,traducao,ezequio,ezequio,,
Ἑζεκίαν,1478,pt,ezequio,ezequio,,
Ἑζεκίας,1478,traducao,ezequio,ezequio,,
Ἑζεκίας,1478,pt,ezequio,ezequio,,
ἐθνάρχης,1481,traducao,etnarco,etnarco,,
ἐθνάρχης,1481,pt,etnarco,etnarco,,
εἰδῶμεν,1492,traducao,vêssemos,"nós vêssemos, soubéssemos, percebêssemos, estivéssemos atento",,
εἰδῶμεν,1492,pt,vêssemos,vêssemos,,
ἐκκαθάρῃ,1571,traducao,purge,"ele(a) limpe completamente, purge, purifique",,
ἐκπέσητε,1601,traducao,perdais,"vós caiais, falheis, perdais, caiais fora.",,
ἐκπέσωμεν,1601,traducao,perdamos,"nós caiamos, falhemos, perdamos, caiamos fora.",,
ἐκπέσωσιν,1601,traducao,perdam,"eles(as) caiam, falhem, perdam, caiam fora.",,
ἐκτεθέντος,1620,traducao,expido,"tendo sido expido, tendo sido explicado, tendo sido declarado",,
ἐκτεθέντος,1620,pt,expido,tendo sido expido,,
ἐξέθεντο,1620,traducao,experam,"eles(as) experam, explicaram, declararam",,
ἐξέθεντο,1620,pt,experam,experam,,
Ἐλαμῖται,1639,traducao,elamitos,elamitos,,
Ἐλαμῖται,1639,pt,elamitos,elamitos,,
ἐλέγξει,1651,traducao,experá,"ele(a) condenará, reprovará, experá, refutará, corrigirá",,
ἐλέγχει,1651,traducao,expe,"ele(a) condena, reprova, expe, refuta, corrige",,
ἐλέγχεται,1651,traducao,expe,"ele(a) condena, reprova, expe, refuta, corrige",,
ἐλέγχετε,1651,traducao,expei,"vós condenai, reprovai, expei, refutai, corrigi",,
ἐλέγχω,1651,traducao,expo,"eu condeno, reprovo, expo, refuto, corrijo",,
ἐλεγχθῇ,1651,traducao,expido,"ele(a) seja condenado, seja reprovado, seja expido, seja refutado, seja corrigido",,
Ἐλιέζερ,1663,traducao,eliézer,Eliézer,,
Ἐλιέζερ,1663,pt,eliézer,Eliézer,,
Ἐλισαίου,1666,traducao,eliseu,do Eliseu,,
Ἐλισαίου,1666,pt,eliseu,do Eliseu,,
Ἑλλάδα,1671,traducao,grécia,Grécia,,
Ἑλλάδα,1671,pt,grécia,Grécia,,
Ἐλμαδάμ,1678,traducao,elmadam,elmadam,,
Ἐλμαδάμ,1678,pt,elmadam,elmadam,,
Ἐλύμας,1681,traducao,elimo,elimo,,
Ἐλύμας,1681,pt,elimo,elimo,,
Ἐμμανουήλ,1694,traducao,emanuel,Emanuel,,
Ἐμμανουήλ,1694,pt,emanuel,Emanuel,,
Ἐμμαούς,1695,traducao,emaú,emaú,,
Ἐμμαούς,1695,pt,emaú,emaú,,
Ἑμμὼρ,1697,traducao,hamor,Hamor,,
Ἑμμὼρ,1697,pt,hamor,Hamor,,
Ἐνώς,1800,traducao,eno,eno,,
Ἐνώς,1800,pt,eno,eno,,
ἐξάρατε,1808,traducao,destrui,"vós tirai, removei, levantai, destrui.",,
ἐξορκιστῶν,1845,traducao,exorcistos,dos exorcistos,,
ἐξορκιστῶν,1845,pt,exorcistos,dos exorcistos,,
Ἐπαφρᾶ,1889,traducao,epafro,do Epafro,,
Ἐπαφρᾶ,1889,pt,epafro,do Epafro,,
Ἐπαφροδίτου,1891,traducao,epafrodito,do Epafrodito,,
Ἐπαφροδίτου,1891,pt,epafrodito,do Epafrodito,,
Ἐπαφρόδιτον,1891,traducao,epafrodito,Epafrodito,,
Ἐπαφρόδιτον,1891,pt,epafrodito,Epafrodito,,
ἐπέβην,1910,traducao,embarcei,"eu segui, embarcei, pisei",,
Ἐπικουρείων,1946,traducao,epicuristos,dos epicuristos,,
Ἐπικουρείων,1946,pt,epicuristos,dos epicuristos,,
ἐπισκηνώσῃ,1981,traducao,tabernaculize,"ele(a) habite, tabernaculize, cobra",,
Ἔραστον,2037,traducao,erasto,Erasto,,
Ἔραστον,2037,pt,erasto,Erasto,,
Ἑρμογένης,2061,traducao,hermógene,hermógene,,
Ἑρμογένης,2061,pt,hermógene,hermógene,,
Ἑσλὶ,2069,traducao,hesli,hesli,,
Ἑσλὶ,2069,pt,hesli,hesli,,
ἑτερογλώσσοις,2084,traducao,des,aos des outra língua,,
ἑτερογλώσσοις,2084,pt,des,aos des outra língua,,
εὐαγγελιστάς,2099,traducao,evangelistos,evangelistos,,
εὐαγγελιστάς,2099,pt,evangelistos,evangelistos,,
εὔβουλος,2103,traducao,êubulo,Êubulo,,
εὔβουλος,2103,pt,êubulo,Êubulo,,
εὐνίκῃ,2131,traducao,eunice,à Eunice,,
εὐνίκῃ,2131,pt,eunice,à Eunice,,
εὐρακύλων,2148,traducao,euroclydon,euroclydon,,
εὐρακύλων,2148,pt,euroclydon,euroclydon,,
εὔτυχος,2161,traducao,êutico,Êutico,,
εὔτυχος,2161,pt,êutico,Êutico,,
εὐφράτην,2166,traducao,eufrate,Eufrate,,
εὐφράτην,2166,pt,eufrate,Eufrate,,
εὐφράτῃ,2166,traducao,eufrate,ao Eufrate,,
εὐφράτῃ,2166,pt,eufrate,ao Eufrate,,
Ἐφραὶμ,2187,traducao,efraim,Efraim,,
Ἐφραὶμ,2187,pt,efraim,Efraim,,
Ζακχαῖε,2195,traducao,zaqueu,Zaqueu,,
Ζακχαῖε,2195,pt,zaqueu,Zaqueu,,
Ζαρὰ,2196,traducao,zaro,zaro,,
Ζαρὰ,2196,pt,zaro,zaro,,
Ζαχαρία,2197,traducao,zacario,zacario,,
Ζαχαρία,2197,pt,zacario,zacario,,
Ζεβεδαῖον,2199,traducao,zebedeu,Zebedeu,,
Ζεβεδαῖον,2199,pt,zebedeu,Zebedeu,,
Διὸς,2203,traducao,zeu,do Zeu,,
Διὸς,2203,pt,zeu,do Zeu,,
Ἡρῳδιὰς,2266,traducao,herodias,Herodias,,
Ἡρῳδιὰς,2266,pt,herodias,Herodias,,
Ἠσαίᾳ,2268,traducao,isaío,ao isaío,,
Ἠσαίᾳ,2268,pt,isaío,ao isaío,,
Θαδδαῖον,2280,traducao,tadeu,Tadeu,,
Θαδδαῖον,2280,pt,tadeu,Tadeu,,
Θαδδαῖος,2280,traducao,tadeu,Tadeu,,
Θαδδαῖος,2280,pt,tadeu,Tadeu,,
Θάμαρ,2283,traducao,thamar,thamar,,
Θάμαρ,2283,pt,thamar,thamar,,
Θαρά,2291,traducao,tharo,tharo,,
Θαρά,2291,pt,tharo,tharo,,
Θεσσαλονίκης,2332,traducao,tessalônica,da Tessalônica,,
Θεσσαλονίκης,2332,pt,tessalônica,da Tessalônica,,
Θευδᾶς,2333,traducao,teudo,teudo,,
Θευδᾶς,2333,pt,teudo,teudo,,
Θυάτειρα,2363,traducao,tiatiros,Tiatiros,,
Θυάτειρα,2363,pt,tiatiros,Tiatiros,,
Θυατείρων,2363,traducao,tiatiros,dos Tiatiros,,
Θυατείρων,2363,pt,tiatiros,dos Tiatiros,,
Ἰαμβρῆς,2387,traducao,jambre,jambre,,
Ἰαμβρῆς,2387,pt,jambre,jambre,,
Ἰανναί,2388,traducao,jannai,jannai,,
Ἰανναί,2388,pt,jannai,jannai,,
Ἰάρετ,2391,traducao,jared,jared,,
Ἰάρετ,2391,pt,jared,jared,,
Ἰάσονα,2394,traducao,jasão,Jasão,,
Ἰάσονα,2394,pt,jasão,Jasão,,
Ἰδουμαίας,2401,traducao,iduméia,da Iduméia,,
Ἰδουμαίας,2401,pt,iduméia,da Iduméia,,
Ἰεζάβελ,2403,traducao,jezabel,Jezabel,,
Ἰεζάβελ,2403,pt,jezabel,Jezabel,,
Ἰεφθάε,2422,traducao,jefté,Jefté,,
Ἰεφθάε,2422,pt,jefté,Jefté,,
Ἰεχονίαν,2423,traducao,jeconio,jeconio,,
Ἰεχονίαν,2423,pt,jeconio,jeconio,,
Ἰεχονίας,2423,traducao,jeconio,jeconio,,
Ἰεχονίας,2423,pt,jeconio,jeconio,,
Ἰκονίου,2430,traducao,icônio,de Icônio,,
Ἰκονίου,2430,pt,icônio,de Icônio,,
Ἰωδά,2448,traducao,judá,Judá,,
Ἰωδά,2448,pt,judá,Judá,,
Ἰουλίῳ,2457,traducao,júlio,ao Júlio,,
Ἰουλίῳ,2457,pt,júlio,ao Júlio,,
Ἰούλιος,2457,traducao,júlio,Júlio,,
Ἰούλιος,2457,pt,júlio,Júlio,,
Ἰσσαχὰρ,2466,traducao,issacar,Issacar,,
Ἰσσαχὰρ,2466,pt,issacar,Issacar,,
Ἰτουραίας,2484,traducao,itureana,da itureana,,
Ἰτουραίας,2484,pt,itureana,da itureana,,
Ἰωανάν,2490,traducao,john,john,,
Ἰωανάν,2490,pt,john,john,,
Ἰωήλ,2493,traducao,joel,Joel,,
Ἰωήλ,2493,pt,joel,Joel,,
Ἰωνάμ,2494,traducao,jonam,jonam,,
Ἰωνάμ,2494,pt,jonam,jonam,,
Ἰωσήχ,2501,traducao,josé,José,,
Ἰωσήχ,2501,pt,josé,José,,
Ἰωσῆς,2501,traducao,josé,José,,
Ἰωσῆς,2501,pt,josé,José,,
Ἰωσίαν,2502,traducao,josio,josio,,
Ἰωσίαν,2502,pt,josio,josio,,
Ἰωσίας,2502,traducao,josio,josio,,
Ἰωσίας,2502,pt,josio,josio,,
ἰῶτα,2503,traducao,ioto,ioto,,
ἰῶτα,2503,pt,ioto,ioto,,
Καισαρείᾳ,2542,traducao,cesaréia,à cesaréia,,
Καισαρείᾳ,2542,pt,cesaréia,à cesaréia,,
Κανδάκης,2582,traducao,candace,da Candace,,
Κανδάκης,2582,pt,candace,da Candace,,
Καππαδοκίαν,2587,traducao,capadócia,Capadócia,,
Καππαδοκίαν,2587,pt,capadócia,Capadócia,,
Καππαδοκίας,2587,traducao,capadócia,da Capadócia,,
Καππαδοκίας,2587,pt,capadócia,da Capadócia,,
κατέλυσα,2647,pt,destrui,destrui,,
κατέχωμεν,2722,traducao,restringamos,"nós seguremos firme, restringamos, possuamos, mantenhamos",,
κατήφειαν,2726,traducao,desânima,desânima,,
κατήφειαν,2726,pt,desânima,desânima,,
Κέδρων,2748,traducao,cedron,Cedron,,
Κέδρων,2748,pt,cedron,Cedron,,
Καῦδα,2802,traducao,cláudio,Cláudio,,
Καῦδα,2802,pt,cláudio,Cláudio,,
Κλαυδία,2803,traducao,cláudia,Cláudia,,
Κλαυδία,2803,pt,cláudia,Cláudia,,
Κλαυδίου,2804,traducao,cláudio,do Cláudio,,
Κλαυδίου,2804,pt,cláudio,do Cláudio,,
Κλαύδιον,2804,traducao,cláudio,Cláudio,,
Κλαύδιον,2804,pt,cláudio,Cláudio,,
Κλαύδιος,2804,traducao,cláudio,Cláudio,,
Κλαύδιος,2804,pt,cláudio,Cláudio,,
Κλεόπας,2810,traducao,cléofo,cléofo,,
Κλεόπας,2810,pt,cléofo,cléofo,,
Κλωπᾶ,2832,traducao,clopas,de Clopas,,
Κλωπᾶ,2832,pt,clopas,de Clopas,,
Κνίδον,2834,traducao,cnida,cnida,,
Κνίδον,2834,pt,cnida,cnida,,
κράσπεδα,2899,traducao,franjos,franjos,,
κράσπεδα,2899,pt,franjos,franjos,,
κρατήσωσιν,2902,traducao,mantam,"eles(as) apreendam, segurem, agarrem, retam, mantam",,
κρατεῖς,2902,traducao,mantes,"tu apreendes, seguras, agarras, retes, mantes",,
κρατοῦσιν,2902,traducao,mantem,"eles(as) apreendem, seguram, agarram, retem, mantem",,
κρατῶμεν,2902,traducao,mantamos,"nós apreendamos, seguremos, agarremos, retamos, mantamos",,
ἐκρατοῦντο,2902,traducao,retiam,"eles(as) apreendiam, seguravam, agarravam, retiam, mantiam",,
ἐκρατοῦντο,2902,traducao,mantiam,"eles(as) apreendiam, seguravam, agarravam, retiam, mantiam",,
ἔκρυψας,2928,traducao,manteste,"tu escondeste, manteste segredo",,
Κύπρου,2954,traducao,chipre,da Chipre,,
Κύπρου,2954,pt,chipre,da Chipre,,
Κυρήνην,2957,traducao,cirene,Cirene,,
Κυρήνην,2957,pt,cirene,Cirene,,
