grego;strongs;campo;palavra_original;decisao;antes;depois
εἰδωλολάτρης;1496;traducao;idólatro;idólatra;idólatro;idólatra
εἰδωλολάτρης;1496;pt;idólatro;idólatra;idólatro;idólatra
ἐξέδοτο;1554;traducao;entrege;entregue;ele(a) desista, entrege;ele(a) desista, entregue
ἐκκαθάρῃ;1571;traducao;purge;purgue;ele(a) limpe completamente, purge, purifique;ele(a) limpe completamente, purgue, purifique
ἐκλογὴ;1589;traducao;eleiçõe;eleições;eleiçõe;eleições
ἐκλογὴ;1589;pt;eleiçõe;eleições;eleiçõe;eleições
ἐκπίπτει;1601;pt;cae;cai;cae;cai
ἐκπέσωσιν;1601;traducao;perdam;percam;eles(as) caiam, falhem, perdam, caiam fora.;eles(as) caiam, falhem, percam, caiam fora.
ἐκπέσωμεν;1601;traducao;perdamos;percamos;nós caiamos, falhemos, perdamos, caiamos fora.;nós caiamos, falhemos, percamos, caiamos fora.
ἐκπέσητε;1601;traducao;perdais;percais;vós caiais, falheis, perdais, caiais fora.;vós caiais, falheis, percais, caiais fora.
ἐξέθεντο;1620;traducao;experam;expuseram;eles(as) experam, explicaram, declararam;eles(as) expuseram, explicaram, declararam
ἐξέθεντο;1620;pt;experam;expuseram;experam;expuseram
ἐκτεθέντος;1620;pt;expido;exposto;tendo sido expido;tendo sido exposto
ἐκτεθέντα;1620;pt;expido;exposto;tendo sido expido;tendo sido exposto
ἐκτεθέντος;1620;traducao;expido;exposto;tendo sido expido, tendo sido explicado, tendo sido declarado;tendo sido exposto, tendo sido explicado, tendo sido declarado
ἐκτεθέντα;1620;traducao;expido;exposto;tendo sido expido, tendo sido explicado, tendo sido declarado;tendo sido exposto, tendo sido explicado, tendo sido declarado
Ἐλαμῖται;1639;traducao;elamitos;elamitas;elamitos;elamitas
Ἐλαμῖται;1639;pt;elamitos;elamitas;elamitos;elamitas
ἠλάττωσας;1642;traducao;diminuiste;diminuíste;tu fizeste menos, diminuiste, foste inferior;tu fizeste menos, diminuíste, foste inferior
Ἐλεάζαρ;1648;traducao;eleazar;Eleazar;Eleazar;Eleazar
Ἐλεάζαρ;1648;pt;eleazar;Eleazar;Eleazar;Eleazar
ἐλέγχει;1651;traducao;expe;expõe;ele(a) condena, reprova, expe, refuta, corrige;ele(a) condena, reprova, expõe, refuta, corrige
ἐλέγχεται;1651;traducao;expe;expõe;ele(a) condena, reprova, expe, refuta, corrige;ele(a) condena, reprova, expõe, refuta, corrige
ἐλέγξει;1651;traducao;experá;exporá;ele(a) condenará, reprovará, experá, refutará, corrigirá;ele(a) condenará, reprovará, exporá, refutará, corrigirá
ἐλεγχθῇ;1651;traducao;expido;exposto;ele(a) seja condenado, seja reprovado, seja expido, seja refutado, seja corrigido;ele(a) seja condenado, seja reprovado, seja exposto, seja refutado, seja corrigido
ἐλέγχω;1651;traducao;expo;exponho;eu condeno, reprovo, expo, refuto, corrijo;eu condeno, reprovo, exponho, refuto, corrijo
ἔλεγχε;1651;traducao;expe;expõe;tu condena, reprova, expe, refuta, corrige;tu condena, reprova, expõe, refuta, corrige
ἔλεγξον;1651;traducao;expe;expõe;tu condena, reprova, expe, refuta, corrige;tu condena, reprova, expõe, refuta, corrige
ἐλέγχετε;1651;traducao;expei;expõe;vós condenai, reprovai, expei, refutai, corrigi;vós condenai, reprovai, expõe, refutai, corrigi
Ἐλιακίμ;1662;traducao;eliaquim;Eliaquim;Eliaquim;Eliaquim
Ἐλιακίμ;1662;pt;eliaquim;Eliaquim;Eliaquim;Eliaquim
Ἐλιακείμ;1662;traducao;eliaquim;Eliaquim;Eliaquim;Eliaquim
Ἐλιακείμ;1662;pt;eliaquim;Eliaquim;Eliaquim;Eliaquim
Ἐλιέζερ;1663;traducao;eliézer;Eliézer;Eliézer;Eliézer
Ἐλιέζερ;1663;pt;eliézer;Eliézer;Eliézer;Eliézer
Ἐλιούδ;1664;traducao;eliud;Eliúde;eliud;Eliúde
Ἐλιούδ;1664;pt;eliud;Eliúde;eliud;Eliúde
Ἐλισάβετ;1665;pt;elisabete;Elisabete;Elisabete;Elisabete
Ἐλισάβετ;1665;traducao;elisabete;Elisabete;Isabel ou Elisabete;Isabel ou Elisabete
Ἐλισαίου;1666;traducao;eliseu;Eliseu;do Eliseu;do Eliseu
Ἐλισαίου;1666;pt;eliseu;Eliseu;do Eliseu;do Eliseu
ἐλισσαίου;1666;traducao;eliseu;Eliseu;do Eliseu;do Eliseu
ἐλισσαίου;1666;pt;eliseu;Eliseu;do Eliseu;do Eliseu
Ἑλλάδα;1671;traducao;grécia;Grécia;Grécia;Grécia
Ἑλλάδα;1671;pt;grécia;Grécia;Grécia;Grécia
Ἐλμαδάμ;1678;traducao;elmadam;Elmadã;elmadam;Elmadã
Ἐλμαδάμ;1678;pt;elmadam;Elmadã;elmadam;Elmadã
ἐλμωδάμ;1678;traducao;elmadam;Elmadã;elmadam;Elmadã
ἐλμωδάμ;1678;pt;elmadam;Elmadã;elmadam;Elmadã
Ἐλύμας;1681;traducao;elimo;Elimas;elimo;Elimas
Ἐλύμας;1681;pt;elimo;Elimas;elimo;Elimas
Ἐμμανουήλ;1694;traducao;emanuel;Emanuel;Emanuel;Emanuel
Ἐμμανουήλ;1694;pt;emanuel;Emanuel;Emanuel;Emanuel
Ἐμμαούς;1695;traducao;emaú;Emaús;emaú;Emaús
Ἐμμαούς;1695;pt;emaú;Emaús;emaú;Emaús
Ἑμμὼρ;1697;traducao;hamor;Hamor;Hamor;Hamor
Ἑμμὼρ;1697;pt;hamor;Hamor;Hamor;Hamor
ἐμμὸρ;1697;traducao;hamor;Hamor;Hamor;Hamor
ἐμμὸρ;1697;pt;hamor;Hamor;Hamor;Hamor
ἐμπλησθῶ;1705;traducao;satisfazido;satisfeito;eu seja preenchido, seja satisfazido, seja cumprido;eu seja preenchido, seja satisfeito, seja cumprido
ἐνδόμησις;1739;traducao;edifícia;edifício;edifícia;edifício
ἐνδόμησις;1739;pt;edifícia;edifício;edifícia;edifício
ἔνεδρον;1749;traducao;embosçado;emboscada;embosçado;emboscada
ἔνεδρον;1749;pt;embosçado;emboscada;embosçado;emboscada
Ἐνώς;1800;traducao;eno;Enos;eno;Enos
Ἐνώς;1800;pt;eno;Enos;eno;Enos
ἐξείλετο;1807;traducao;entrege;entregue;ele(a) tire, entrege, resgate;ele(a) tire, entregue, resgate
ἐξείλετό;1807;traducao;entrege;entregue;ele(a) tire, entrege, resgate;ele(a) tire, entregue, resgate
ἐξειλόμην;1807;traducao;tir;tire;eu Tir, entreg, resgat;eu Tire, entreg, resgat
ἐξειλόμην;1807;traducao;entreg;entregue;eu Tire, entreg, resgat;eu Tire, entregue, resgat
ἐξειλόμην;1807;traducao;resgat;resgate;eu Tire, entregue, resgat;eu Tire, entregue, resgate
ἐξειλόμην;1807;pt;tir;tirai;Tir;Tirai
ἐξάρατε;1808;traducao;destrui;destruí;vós tirai, removei, levantai, destrui.;vós tirai, removei, levantai, destruí.
ἐξορκιστῶν;1845;traducao;exorcistos;exorcistas;dos exorcistos;dos exorcistas
ἐξορκιστῶν;1845;pt;exorcistos;exorcistas;dos exorcistos;dos exorcistas
ἐπαίνετον;1866;traducao;epineto;Epíneto;epineto;Epíneto
ἐπαίνετον;1866;pt;epineto;Epíneto;epineto;Epíneto
ἐπαναπαύσεται;1879;pt;desçansará;descansará;desçansará;descansará
ἐπαναπαύσεται;1879;traducao;desçansará;descansará;ele(a) desçansará, se estabelecerá, confiará em;ele(a) descansará, se estabelecerá, confiará em
Ἐπαφρᾶ;1889;traducao;epafro;Epafro;do Epafro;do Epafro
Ἐπαφρᾶ;1889;pt;epafro;Epafro;do Epafro;do Epafro
Ἐπαφρᾶς;1889;traducao;epafro;Epafro;Epafro;Epafro
Ἐπαφρᾶς;1889;pt;epafro;Epafro;Epafro;Epafro
Ἐπαφροδίτου;1891;traducao;epafrodito;Epafrodito;do Epafrodito;do Epafrodito
Ἐπαφροδίτου;1891;pt;epafrodito;Epafrodito;do Epafrodito;do Epafrodito
Ἐπαφρόδιτον;1891;traducao;epafrodito;Epafrodito;Epafrodito;Epafrodito
Ἐπαφρόδιτον;1891;pt;epafrodito;Epafrodito;Epafrodito;Epafrodito
ἐπέβην;1910;traducao;embarcei;embarquei;eu segui, embarcei, pisei;eu segui, embarquei, pisei
Ἐπικουρείων;1946;traducao;epicuristos;epicureus;dos epicuristos;dos epicureus
Ἐπικουρείων;1946;pt;epicuristos;epicureus;dos epicuristos;dos epicureus
ἐπιμείνῃς;1961;traducao;permaneca;permaneça;ele(a) permaneca, continue, persista, fique;ele(a) permaneça, continue, persista, fique
ἐπιμείνωσιν;1961;traducao;permanecam;permaneçam;eles(as) permanecam, continuem, persistam, fiquem;eles(as) permaneçam, continuem, persistam, fiquem
ἐπιμείνῃς;1961;pt;permaneca;permaneça;permaneca;permaneça
ἐπιμείνωσιν;1961;pt;permanecam;permaneçam;permanecam;permaneçam
ἐπέφερον;2018;traducao;impiam;impunham;eles(as) traziam, infligiam, impiam;eles(as) traziam, infligiam, impunham
Ἔραστος;2037;traducao;erasto;Erasto;Erasto;Erasto
Ἔραστος;2037;pt;erasto;Erasto;Erasto;Erasto
Ἔραστον;2037;traducao;erasto;Erasto;Erasto;Erasto
Ἔραστον;2037;pt;erasto;Erasto;Erasto;Erasto
ἑρμᾶν;2057;traducao;hermo;Hermas;hermo;Hermas
ἑρμᾶν;2057;pt;hermo;Hermas;hermo;Hermas
Ἑρμῆν;2060;traducao;herme;Hermes;herme;Hermes
Ἑρμῆν;2060;pt;herme;Hermes;herme;Hermes
Ἑρμογένης;2061;traducao;hermógene;Hermógenes;hermógene;Hermógenes
Ἑρμογένης;2061;pt;hermógene;Hermógenes;hermógene;Hermógenes
ἐσθήσεσιν;2066;traducao;vestuárias;vestes;às vestuárias;às vestes
ἐσθήσεσιν;2066;pt;vestuárias;vestes;às vestuárias;às vestes
Ἑσλὶ;2069;traducao;hesli;Hesli;hesli;Hesli
Ἑσλὶ;2069;pt;hesli;Hesli;hesli;Hesli
Ἑσρώμ;2074;traducao;esrom;Esrom;Esrom;Esrom
Ἑσρώμ;2074;pt;esrom;Esrom;Esrom;Esrom
ἑτερογλώσσοις;2084;traducao;des;de;aos des outra língua;aos de outra língua
ἑτερογλώσσοις;2084;pt;des;de;aos des outra língua;aos de outra língua
εὐαγγελιστοῦ;2099;traducao;evangelisto;evangelista;do evangelisto;do evangelista
εὐαγγελιστοῦ;2099;pt;evangelisto;evangelista;do evangelisto;do evangelista
εὐαγγελιστάς;2099;traducao;evangelistos;evangelistas;evangelistos;evangelistas
εὐαγγελιστάς;2099;pt;evangelistos;evangelistas;evangelistos;evangelistas
εὔβουλος;2103;traducao;êubulo;Êubulo;Êubulo;Êubulo
εὔβουλος;2103;pt;êubulo;Êubulo;Êubulo;Êubulo
εὐνίκῃ;2131;traducao;eunice;Eunice;à Eunice;à Eunice
εὐνίκῃ;2131;pt;eunice;Eunice;à Eunice;à Eunice
εὐοδίαν;2136;traducao;euódia;Evódia;Euódia;Evódia
εὐοδίαν;2136;pt;euódia;Evódia;Euódia;Evódia
εὕρῃς;2147;traducao;obtas;obtenhas;tu encontres, descubras, obtas;tu encontres, descubras, obtenhas
εὐρακύλων;2148;traducao;euroclydon;Euráquilo;euroclydon;Euráquilo
εὐρακύλων;2148;pt;euroclydon;Euráquilo;euroclydon;Euráquilo
εὐροκλύδων;2148;traducao;euroclydon;Euráquilo;euroclydon;Euráquilo
εὐροκλύδων;2148;pt;euroclydon;Euráquilo;euroclydon;Euráquilo
εὔτυχος;2161;traducao;êutico;Êutico;Êutico;Êutico
εὔτυχος;2161;pt;êutico;Êutico;Êutico;Êutico
εὐφράτῃ;2166;traducao;eufrate;Eufrates;ao Eufrate;ao Eufrates
εὐφράτῃ;2166;pt;eufrate;Eufrates;ao Eufrate;ao Eufrates
εὐφράτην;2166;traducao;eufrate;Eufrate;Eufrate;Eufrate
εὐφράτην;2166;pt;eufrate;Eufrate;Eufrate;Eufrate
εὐχὴ;2171;traducao;oraçõe;orações;oraçõe;orações
εὐχὴ;2171;pt;oraçõe;orações;oraçõe;orações
Ἐφέσῳ;2181;traducao;éfeso;Éfeso;a Éfeso;a Éfeso
Ἐφέσῳ;2181;pt;éfeso;Éfeso;a Éfeso;a Éfeso
Ἐφέσου;2181;traducao;éfesa;Éfeso;da éfesa;da Éfeso
Ἐφέσου;2181;pt;éfesa;Éfeso;da éfesa;da Éfeso
Ἔφεσον;2181;traducao;éfeso;Éfeso;Éfeso;Éfeso
Ἔφεσον;2181;pt;éfeso;Éfeso;Éfeso;Éfeso
Ἐφραὶμ;2187;traducao;efraim;Efraim;Efraim;Efraim
Ἐφραὶμ;2187;pt;efraim;Efraim;Efraim;Efraim
Ζαβουλὼν;2194;traducao;zebulon;Zebulon;Zebulon;Zebulon
Ζαβουλὼν;2194;pt;zebulon;Zebulon;Zebulon;Zebulon
Ζακχαῖος;2195;traducao;zaqueu;Zaqueu;Zaqueu;Zaqueu
Ζακχαῖος;2195;pt;zaqueu;Zaqueu;Zaqueu;Zaqueu
Ζακχαῖε;2195;traducao;zaqueu;Zaqueu;Zaqueu;Zaqueu
Ζακχαῖε;2195;pt;zaqueu;Zaqueu;Zaqueu;Zaqueu
Ζαρὰ;2196;traducao;zaro;Zara;zaro;Zara
Ζαρὰ;2196;pt;zaro;Zara;zaro;Zara
Ζαχαρίου;2197;traducao;zacarias;Zacarias;de Zacarias;de Zacarias
Ζαχαρίου;2197;pt;zacarias;Zacarias;de Zacarias;de Zacarias
Ζαχαρίας;2197;traducao;zacarias;Zacarias;Zacarias;Zacarias
Ζαχαρίας;2197;pt;zacarias;Zacarias;Zacarias;Zacarias
Ζαχαρίαν;2197;traducao;zacario;Zacarias;zacario;Zacarias
Ζαχαρίαν;2197;pt;zacario;Zacarias;zacario;Zacarias
Ζαχαρία;2197;traducao;zacario;Zacarias;zacario;Zacarias
Ζαχαρία;2197;pt;zacario;Zacarias;zacario;Zacarias
Ζεβεδαίου;2199;traducao;zebedeu;Zebedeu;de Zebedeu;de Zebedeu
Ζεβεδαίου;2199;pt;zebedeu;Zebedeu;de Zebedeu;de Zebedeu
Ζεβεδαῖον;2199;traducao;zebedeu;Zebedeu;Zebedeu;Zebedeu
Ζεβεδαῖον;2199;pt;zebedeu;Zebedeu;Zebedeu;Zebedeu
Διὸς;2203;traducao;zeu;Zeus;do Zeu;do Zeus
Διὸς;2203;pt;zeu;Zeus;do Zeu;do Zeus
Ζοροβάβελ;2216;traducao;zorobabel;Zorobabel;Zorobabel;Zorobabel
Ζοροβάβελ;2216;pt;zorobabel;Zorobabel;Zorobabel;Zorobabel
ηλι;2241;traducao;eli;Eli;eli;Eli
ηλι;2241;pt;eli;Eli;eli;Eli
Ἠλίᾳ;2243;traducao;elias;Elias;a Elias;a Elias
Ἠλίᾳ;2243;pt;elias;Elias;a Elias;a Elias
Ἠλίου;2243;traducao;elio;Elias;do elio;do Elias
Ἠλίου;2243;pt;elio;Elias;do elio;do Elias
Ἠλίας;2243;traducao;elias;Elias;Elias;Elias
Ἠλίας;2243;pt;elias;Elias;Elias;Elias
Ἠλίαν;2243;traducao;elias;Elias;Elias;Elias
Ἠλίαν;2243;pt;elias;Elias;Elias;Elias
Ἡρῴδῃ;2264;traducao;herodes;Herodes;a Herodes;a Herodes
Ἡρῴδῃ;2264;pt;herodes;Herodes;a Herodes;a Herodes
Ἡρῴδου;2264;traducao;herodes;Herodes;de Herodes;de Herodes
Ἡρῴδου;2264;pt;herodes;Herodes;de Herodes;de Herodes
Ἡρῴδης;2264;traducao;herodes;Herodes;Herodes;Herodes
Ἡρῴδης;2264;pt;herodes;Herodes;Herodes;Herodes
Ἡρῴδην;2264;traducao;herodes;Herodes;Herodes;Herodes
Ἡρῴδην;2264;pt;herodes;Herodes;Herodes;Herodes
Ἡρῳδιάδος;2266;traducao;herodias;Herodias;de Herodias;de Herodias
Ἡρῳδιάδος;2266;pt;herodias;Herodias;de Herodias;de Herodias
Ἡρῳδιάδα;2266;traducao;herodias;Herodias;Herodias;Herodias
Ἡρῳδιάδα;2266;pt;herodias;Herodias;Herodias;Herodias
Ἡρῳδιὰς;2266;traducao;herodias;Herodias;Herodias;Herodias
Ἡρῳδιὰς;2266;pt;herodias;Herodias;Herodias;Herodias
ἡρῳδίωνα;2267;traducao;herodião;Herodião;herodião;Herodião
ἡρῳδίωνα;2267;pt;herodião;Herodião;herodião;Herodião
Ἠσαίᾳ;2268;traducao;isaío;Isaías;ao isaío;ao Isaías
Ἠσαίᾳ;2268;pt;isaío;Isaías;ao isaío;ao Isaías
Ἠσαίου;2268;traducao;isaías;Isaías;de Isaías;de Isaías
Ἠσαίου;2268;pt;isaías;Isaías;de Isaías;de Isaías
Ἠσαίας;2268;traducao;isaías;Isaías;Isaías;Isaías
Ἠσαίας;2268;pt;isaías;Isaías;Isaías;Isaías
Ἠσαίαν;2268;traducao;isaío;Isaías;isaío;Isaías
Ἠσαίαν;2268;pt;isaío;Isaías;isaío;Isaías
Ἠσαῦ;2269;traducao;esaú;Esaú;Esaú;Esaú
Ἠσαῦ;2269;pt;esaú;Esaú;Esaú;Esaú
Θαδδαῖον;2280;traducao;tadeu;Tadeu;Tadeu;Tadeu
Θαδδαῖον;2280;pt;tadeu;Tadeu;Tadeu;Tadeu
Θαδδαῖος;2280;traducao;tadeu;Tadeu;Tadeu;Tadeu
Θαδδαῖος;2280;pt;tadeu;Tadeu;Tadeu;Tadeu
Θάμαρ;2283;traducao;thamar;Tamar;thamar;Tamar
Θάμαρ;2283;pt;thamar;Tamar;thamar;Tamar
Θαρά;2291;traducao;tharo;Tara;tharo;Tara
Θαρά;2291;pt;tharo;Tara;tharo;Tara
Θεόφιλε;2321;traducao;teófilo;Teófilo;Teófilo;Teófilo
Θεόφιλε;2321;pt;teófilo;Teófilo;Teófilo;Teófilo
Θεσσαλονίκῃ;2332;traducao;tessalônica;Tessalônica;à Tessalônica;à Tessalônica
Θεσσαλονίκῃ;2332;pt;tessalônica;Tessalônica;à Tessalônica;à Tessalônica
Θεσσαλονίκης;2332;traducao;tessalônica;Tessalônica;da Tessalônica;da Tessalônica
Θεσσαλονίκης;2332;pt;tessalônica;Tessalônica;da Tessalônica;da Tessalônica
Θεσσαλονίκην;2332;traducao;tessalônica;Tessalônica;Tessalônica;Tessalônica
Θεσσαλονίκην;2332;pt;tessalônica;Tessalônica;Tessalônica;Tessalônica
Θευδᾶς;2333;traducao;teudo;Teudas;teudo;Teudas
Θευδᾶς;2333;pt;teudo;Teudas;teudo;Teudas
ἐτεθνήκει;2348;traducao;estara;estará;ele(a) morrera, estara morto;ele(a) morrera, estará morto
Θυατείροις;2363;traducao;tiatiros;Tiatira;aos Tiatiros;aos Tiatira
Θυατείροις;2363;pt;tiatiros;Tiatira;aos Tiatiros;aos Tiatira
Θυατείρων;2363;traducao;tiatiros;Tiatira;dos Tiatiros;dos Tiatira
Θυατείρων;2363;pt;tiatiros;Tiatira;dos Tiatiros;dos Tiatira
Θυάτειρα;2363;traducao;tiatiros;Tiatira;Tiatiros;Tiatira
Θυάτειρα;2363;pt;tiatiros;Tiatira;Tiatiros;Tiatira
θυμοί;2372;traducao;iros;iras;iros;iras
θυμοί;2372;pt;iros;iras;iros;iras
Ἰάϊρος;2383;traducao;jairo;Jairo;Jairo;Jairo
Ἰάϊρος;2383;pt;jairo;Jairo;Jairo;Jairo
ἰάειρος;2383;traducao;jairo;Jairo;Jairo;Jairo
ἰάειρος;2383;pt;jairo;Jairo;Jairo;Jairo
Ἰακώβ;2384;traducao;jacó;Jacó;Jacó;Jacó
Ἰακώβ;2384;pt;jacó;Jacó;Jacó;Jacó
Ἰακώβῳ;2385;traducao;jame;Tiago;ao jame;ao Tiago
Ἰακώβῳ;2385;pt;jame;Tiago;ao jame;ao Tiago
Ἰακώβου;2385;traducao;tiago;Tiago;de Tiago;de Tiago
Ἰακώβου;2385;pt;tiago;Tiago;de Tiago;de Tiago
Ἰάκωβον;2385;traducao;tiago;Tiago;Tiago;Tiago
Ἰάκωβον;2385;pt;tiago;Tiago;Tiago;Tiago
Ἰάκωβος;2385;traducao;tiago;Tiago;Tiago;Tiago
Ἰάκωβος;2385;pt;tiago;Tiago;Tiago;Tiago
Ἰαμβρῆς;2387;traducao;jambre;Jambres;jambre;Jambres
Ἰαμβρῆς;2387;pt;jambre;Jambres;jambre;Jambres
Ἰανναί;2388;traducao;jannai;Janai;jannai;Janai
Ἰανναί;2388;pt;jannai;Janai;jannai;Janai
ἰαννά;2388;traducao;jannai;Janai;jannai;Janai
ἰαννά;2388;pt;jannai;Janai;jannai;Janai
Ἰάρετ;2391;traducao;jared;Jarede;jared;Jarede
Ἰάρετ;2391;pt;jared;Jarede;jared;Jarede
ἰαρέδ;2391;traducao;jared;Jarede;jared;Jarede
ἰαρέδ;2391;pt;jared;Jarede;jared;Jarede
Ἰάσονος;2394;traducao;jasão;Jasão;do Jasão;do Jasão
Ἰάσονος;2394;pt;jasão;Jasão;do Jasão;do Jasão
Ἰάσων;2394;traducao;jasão;Jasão;Jasão;Jasão
Ἰάσων;2394;pt;jasão;Jasão;Jasão;Jasão
Ἰάσονα;2394;traducao;jasão;Jasão;Jasão;Jasão
Ἰάσονα;2394;pt;jasão;Jasão;Jasão;Jasão
Ἰδουμαίας;2401;traducao;iduméia;Iduméia;da Iduméia;da Iduméia
Ἰδουμαίας;2401;pt;iduméia;Iduméia;da Iduméia;da Iduméia
Ἰεζάβελ;2403;traducao;jezabel;Jezabel;Jezabel;Jezabel
Ἰεζάβελ;2403;pt;jezabel;Jezabel;Jezabel;Jezabel
ἱεραπόλει;2404;traducao;hierápoli;Hierápolis;à hierápoli;à Hierápolis
ἱεραπόλει;2404;pt;hierápoli;Hierápolis;à hierápoli;à Hierápolis
Ἰεφθάε;2422;traducao;jefté;Jefté;Jefté;Jefté
Ἰεφθάε;2422;pt;jefté;Jefté;Jefté;Jefté
Ἰεχονίαν;2423;traducao;jeconio;Jeconias;jeconio;Jeconias
Ἰεχονίαν;2423;pt;jeconio;Jeconias;jeconio;Jeconias
Ἰεχονίας;2423;traducao;jeconio;Jeconias;jeconio;Jeconias
Ἰεχονίας;2423;pt;jeconio;Jeconias;jeconio;Jeconias
Ἰκονίῳ;2430;traducao;icônio;Icônio;a Icônio;a Icônio
Ἰκονίῳ;2430;pt;icônio;Icônio;a Icônio;a Icônio
Ἰκονίου;2430;traducao;icônio;Icônio;de Icônio;de Icônio
Ἰκονίου;2430;pt;icônio;Icônio;de Icônio;de Icônio
Ἰκόνιον;2430;traducao;icônio;Icônio;Icônio;Icônio
Ἰκόνιον;2430;pt;icônio;Icônio;Icônio;Icônio
Ἰόππῃ;2445;traducao;jope;Jope;à Jope;à Jope
Ἰόππῃ;2445;pt;jope;Jope;à Jope;à Jope
Ἰόππης;2445;traducao;jope;Jope;de Jope;de Jope
Ἰόππης;2445;pt;jope;Jope;de Jope;de Jope
Ἰόππην;2445;traducao;jope;Jope;Jope;Jope
Ἰόππην;2445;pt;jope;Jope;Jope;Jope
Ἰορδάνῃ;2446;traducao;jordão;Jordão;ao Jordão;ao Jordão
Ἰορδάνῃ;2446;pt;jordão;Jordão;ao Jordão;ao Jordão
Ἰορδάνου;2446;traducao;jordão;Jordão;do Jordão;do Jordão
Ἰορδάνου;2446;pt;jordão;Jordão;do Jordão;do Jordão
Ἰορδάνην;2446;traducao;jordão;Jordão;Jordão;Jordão
Ἰορδάνην;2446;pt;jordão;Jordão;Jordão;Jordão
Ἰούδα;2448;traducao;judá;Judá;de Judá;de Judá
Ἰούδα;2448;pt;judá;Judá;de Judá;de Judá
Ἰωδά;2448;traducao;judá;Judá;Judá;Judá
Ἰωδά;2448;pt;judá;Judá;Judá;Judá
Ἰουδαίας;2449;traducao;judéia;Judéia;da Judéia;da Judéia
Ἰουδαίας;2449;pt;judéia;Judéia;da Judéia;da Judéia
Ἰουδαία;2449;traducao;judéia;Judéia;Judéia;Judéia
Ἰουδαία;2449;pt;judéia;Judéia;Judéia;Judéia
Ἰουδαίαν;2449;traducao;judéia;Judéia;Judéia;Judéia
Ἰουδαίαν;2449;pt;judéia;Judéia;Judéia;Judéia
ἰουλίαν;2456;traducao;júlia;Júlia;Júlia;Júlia
ἰουλίαν;2456;pt;júlia;Júlia;Júlia;Júlia
Ἰουλίῳ;2457;traducao;júlio;Júlio;ao Júlio;ao Júlio
Ἰουλίῳ;2457;pt;júlio;Júlio;ao Júlio;ao Júlio
Ἰούλιος;2457;traducao;júlio;Júlio;Júlio;Júlio
Ἰούλιος;2457;pt;júlio;Júlio;Júlio;Júlio
ἰουνίαν;2458;traducao;júnia;Júnia;Júnia;Júnia
ἰουνίαν;2458;pt;júnia;Júnia;Júnia;Júnia
Ἰσαάκ;2464;traducao;isaque;Isaque;Isaque;Isaque
Ἰσαάκ;2464;pt;isaque;Isaque;Isaque;Isaque
Ἰσσαχὰρ;2466;traducao;issacar;Issacar;Issacar;Issacar
Ἰσσαχὰρ;2466;pt;issacar;Issacar;Issacar;Issacar
ἰσαχάρ;2466;traducao;issacar;Issacar;Issacar;Issacar
ἰσαχάρ;2466;pt;issacar;Issacar;Issacar;Issacar
ἰσκαριώτῃ;2469;traducao;isçariote;Iscariotes;ao isçariote;ao Iscariotes
ἰσκαριώτῃ;2469;pt;isçariote;Iscariotes;ao isçariote;ao Iscariotes
Ἰσραηλίτης;2475;traducao;israelito;israelita;Israelito;Israelita
Ἰσραηλίτης;2475;pt;israelito;israelita;Israelito;Israelita
εἱστήκει;2476;traducao;estara;estará;ele(a) se posicionara, estara de pé, parara, estabelecera;ele(a) se posicionara, estará de pé, parara, estabelecera
εἱστήκεισαν;2476;traducao;estaram;estiveram;eles(as) se posicionaram, estaram de pé, pararam, estabeleceram;eles(as) se posicionaram, estiveram de pé, pararam, estabeleceram
Ἰταλίας;2482;traducao;itália;Itália;da Itália;da Itália
Ἰταλίας;2482;pt;itália;Itália;da Itália;da Itália
Ἰταλίαν;2482;traducao;itália;Itália;Itália;Itália
Ἰταλίαν;2482;pt;itália;Itália;Itália;Itália
Ἰτουραίας;2484;traducao;itureana;Itureia;da itureana;da Itureia
Ἰτουραίας;2484;pt;itureana;Itureia;da itureana;da Itureia
Ἰωαθάμ;2488;traducao;jotão;Jotão;Jotão;Jotão
Ἰωαθάμ;2488;pt;jotão;Jotão;Jotão;Jotão
Ἰωανάν;2490;traducao;john;João;john;João
Ἰωανάν;2490;pt;john;João;john;João
Ἰωήλ;2493;traducao;joel;Joel;Joel;Joel
Ἰωήλ;2493;pt;joel;Joel;Joel;Joel
Ἰωνάμ;2494;traducao;jonam;Jonas;jonam;Jonas
Ἰωνάμ;2494;pt;jonam;Jonas;jonam;Jonas
ἰωνάν;2494;traducao;jonam;Jonas;jonam;Jonas
ἰωνάν;2494;pt;jonam;Jonas;jonam;Jonas
Ἰωράμ;2496;traducao;joram;Jorão;Joram;Jorão
Ἰωράμ;2496;pt;joram;Jorão;Joram;Jorão
Ἰωσαφάτ;2498;traducao;josafá;Josafá;Josafá;Josafá
Ἰωσαφάτ;2498;pt;josafá;Josafá;Josafá;Josafá
Ἰωσῆτος;2500;traducao;josés;José;de Josés;de José
Ἰωσῆτος;2500;pt;josés;José;de Josés;de José
ἰωσή;2500;traducao;josé;José;do José;do José
ἰωσή;2500;pt;josé;José;do José;do José
ἰωσῆ;2500;traducao;josé;José;do José;do José
ἰωσῆ;2500;pt;josé;José;do José;do José
Ἰωσήφ;2501;traducao;josé;José;José;José
Ἰωσήφ;2501;pt;josé;José;José;José
Ἰωσήχ;2501;traducao;josé;José;José;José
Ἰωσήχ;2501;pt;josé;José;José;José
Ἰωσῆς;2501;traducao;josé;José;José;José
